id,ticker,underlying,description,exchange_group,exchange,expiry_posix_datetime,min_order_size,tick_size,tradeable_tick_size,currency,tt_symbol_id
173,NGN7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GR00NGZ
174,NGN8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GS00NGZ
175,NGN9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GT00NGZ
176,NGN0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GU00NGZ
177,NGN1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GV00NGZ
178,NGN2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GW00NGZ
179,NGN3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GX00NGZ
180,NGN4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0GY00NGZ
181,NGQ6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HQ00NGZ
182,NGQ7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HR00NGZ
183,NGQ8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HS00NGZ
184,NGQ9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HT00NGZ
185,NGQ0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HU00NGZ
186,NGQ1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HV00NGZ
187,NGQ2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HW00NGZ
188,NGQ3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HX00NGZ
189,NGQ4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0HY00NGZ
190,NGU6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IQ00NGZ
191,NGU7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IR00NGZ
192,NGU8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IS00NGZ
193,NGU9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IT00NGZ
194,NGU0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IU00NGZ
195,NGU1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IV00NGZ
196,NGU2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IW00NGZ
197,NGU3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IX00NGZ
198,NGU4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0IY00NGZ
199,NGV5,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JP00NGZ
200,NGV6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JQ00NGZ
201,NGV7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JR00NGZ
202,NGV8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JS00NGZ
203,NGV9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JT00NGZ
204,NGV0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JU00NGZ
205,NGV1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JV00NGZ
206,NGV2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JW00NGZ
207,NGV3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JX00NGZ
208,NGV4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0JY00NGZ
209,NGX5,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KP00NGZ
210,NGX6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0KQ00NGZ
